,tweet,tweet_length,tweet_cleaned
420,You kids arguing about the presidents look dumb. We all know bush was the reason for all the shit <e>Obama</e> is taking the wrap for âœ‹,137,"['kid', 'argue', 'presidents', 'look', 'dumb', 'know', 'bush', 'reason', 'shit', 'Obama', 'take', 'wrap']"
421,"@chrisrockoz So you know, and for your feedback here's <e>Romney</e>'s <a>tax plan</a>: http://t.co/PnwWm5G8",108,"['chrisrockoz', 'know', 'feedback', 'Romney', 'tax', 'plan', 'http']"
422,Will the Real <e>Mitt</e> please stand up!  http://t.co/5xVjFMwA,64,"['Real', 'Mitt', 'please', 'stand', 'http']"
423,@bmaygers If the <e>Romney</e> camp ever pulls its head out of the sand - maybe it will realize this struthious inaction isn't productive for US.,145,"['bmaygers', 'Romney', 'camp', 'ever', 'pull', 'head', 'sand', 'maybe', 'realize', 'struthious', 'inaction', 'productive', 'US']"
424,"Rubio: 50-50 chance ""nothing happens"" to avert <a>fiscal cliff</a> if <e>Romney</e> wins, markets will give <e>Romney</e> time to act #viewgab.",143,"['Rubio', 'chance', 'nothing', 'happen', 'avert', 'fiscal', 'cliff', 'Romney', 'win', 'market', 'give', 'Romney', 'time', 'act', 'viewgab']"
425,Wouldn't you know it....Mitt <e>Romney</e> just released <a>10 years worth of MY tax</a> returns!,97,"['Would', 'know', 'Mitt', 'Romney', 'release', 'years', 'worth', 'tax', 'return']"
426,"Video of <e>Romney</e>'s Day One promises (at least <a>15 things, inc. Keystone XL, immigration reform</a>) http://t.co/1pAN5SfB",128,"['Video', 'Romney', 'Day', 'One', 'promise', 'least', 'things', 'inc', 'Keystone', 'XL', 'immigration', 'reform', 'http']"
427,<e>Romney</e> wants <a>2 class of people The Rich and The Poor</a>. He wants  the rich to be richer and the poor to be poorer.,126,"['Romney', 'want', 'class', 'people', 'Rich', 'Poor', 'want', 'rich', 'richer', 'poor', 'poorer']"
428,Why Tf i keep seeing <e>Romney</e> commercials.,47,"['Tf', 'keep', 'see', 'Romney', 'commercials']"
429,@lhochstein Are you suggesting that <a>Piers Morgan interviewing</a> the <e>Romney</e> boys last night was not top-notch journalism? ;),135,"['lhochstein', 'suggest', 'Piers', 'Morgan', 'interview', 'Romney', 'boys', 'last', 'night', 'journalism']"
430,@HuffingtonPost I would never believe that that man was <a>Romney</a>'s supporter:  we know that liberal media would jump on the opportunity.,141,"['HuffingtonPost', 'would', 'never', 'believe', 'man', 'Romney', 'supporter', 'know', 'liberal', 'media', 'would', 'jump', 'opportunity']"
431,@lovecountryusa And that's exactly what <e>Romney</e> told <e>Obama</e> in the <a>first debate</a>! #<e>Obama</e>IsntWorking,124,"['lovecountryusa', 'exactly', 'Romney', 'tell', 'Obama', 'first', 'debate', 'ObamaIsntWorking']"
432,"With a h/t to my entire twitter feed, DNC on <e>Romney</e>'s <a>tax plan</a> for the USA --&gt; http://t.co/LcTBr9FX (HA)",121,"['entire', 'twitter', 'fee', 'DNC', 'Romney', 'tax', 'plan', 'USA', 'gt', 'http', 'HA']"
433,#OPINION: Why <a>gay Americans</a> should vote for Mitt <e>Romney</e>: http://t.co/Wpwo9BOf,91,"['OPINION', 'gay', 'Americans', 'vote', 'Mitt', 'Romney', 'http']"
434,@apls452 Very interesting story about â€œ<e>Romney</e>-nomicsâ€ in an ongoing case .. Read and RT,98,"['interest', 'story', 'ongoing', 'case', 'Read', 'RT']"
435,.@tnyCloseRead: Is <a>charity</a> the answer to <e>Romney</e>'s 47% problem? http://t.co/BUbm9CBK #VPdebate,107,"['tnyCloseRead', 'charity', 'answer', 'Romney', 'problem', 'http', 'VPdebate']"
436,"@Mozi_N RT @Anomaly100: @ComgenKDT Breaking: On the day of the debate, Mitt <e>Romney</e> <a>releases details of his tax plan</a>. http://t.co/ywa0mQ1l",151,"['Mozi_N', 'RT', 'ComgenKDT', 'Breaking', 'day', 'debate', 'Mitt', 'Romney', 'release', 'detail', 'tax', 'plan', 'http']"
437,@coty_T 5+ trillion of our country's money is still more than 11 million of <e>Romney</e>'s own <a>money</a>. http://t.co/AI7t8tot,130,"['coty_T', 'trillion', 'country', 'money', 'still', 'million', 'Romney', 'money', 'http']"
438,"Ross Perot backs <e>Romney</e>, disses <e>Obama</e> http://t.co/id8JgMRk",72,"['Ross', 'Perot', 'back', 'Romney', 'diss', 'Obama', 'http']"
439,"Who time, <e>Romney</e> time!",29,"['time', 'Romney', 'time']"
440,.@shortwave8669 @allanbourdius do we judge <e>romney</e> by his <a>record</a>? or do we judge him by his <a>statements</a>? riddle me that one! LOL,147,"['allanbourdius', 'judge', 'romney', 'record', 'judge', 'statements', 'riddle', 'one', 'LOL']"
441,"Why Bill Clinton is wrong about the <e>Romney</e> tax plan. Henry Blodget, too http://t.co/XUAs8v3Y",99,"['Bill', 'Clinton', 'wrong', 'Romney', 'tax', 'plan', 'Henry', 'Blodget', 'http']"
442,Will <a>H.I.G.-Owned E-voting Machines</a> Give <e>Romney</e> the White House? http://t.co/ESkcmvZM,99,"['Machines', 'Give', 'Romney', 'White', 'House', 'http']"
443,Will <a>Federal Funds</a> Subsidize Tagg <e>Romney</e>â€™s <a>Private Equity Bonanza</a>? http://t.co/Oe6YCbii #tcot,116,"['Federal', 'Funds', 'Subsidize', 'Tagg', 'Private', 'Equity', 'Bonanza', 'http', 'tcot']"
444,<e>Romney</e> needs to lie smoothly and frequently and remember to upload his latest <a>HumanEmotionSimulacraâ„¢ software</a> http://t.co/uAyoE9IT,146,"['Romney', 'need', 'lie', 'smoothly', 'frequently', 'remember', 'upload', 'latest', 'HumanEmotionSimulacraâ', 'software', 'http']"
445,Who's ready for round two between President <e>Obama</e> &amp; <e>Romney</e> tonight?,85,"['ready', 'round', 'two', 'President', 'Obama', 'amp', 'Romney', 'tonight']"
446,Who does Starbucks thinks think it is?  Mitt <e>Romney</e>?  #StarbucksUKTaxScandal,83,"['Starbucks', 'think', 'think', 'Mitt', 'Romney', 'StarbucksUKTaxScandal']"
447,".@Lawrence ""We the small, we are very strong"" <e>ROMNEY</e>/BAIN <a>China Outsourced French workers</a> #Bainport #Sensata http://t.co/rCw5SwbG",143,"['Lawrence', 'small', 'strong', 'China', 'Outsourced', 'French', 'workers', 'Bainport', 'Sensata', 'http']"
448,@Mark_JekyllHyde  I think it will be <e>Romney</e> by 13 to possibly as high as 18%  <a>polls</a> are still highly stacked.,123,"['Mark_JekyllHyde', 'think', 'Romney', 'possibly', 'high', 'poll', 'still', 'highly', 'stack']"
449,@BennyDub how is <e>Romney</e> similar to me.!? Ahaha,53,"['BennyDub', 'Romney', 'similar', 'Ahaha']"
450,Yes #ManUP <e>Obama</e>! @nationaljournal 2Nite @Mitt<e>Romney</e> should call on @Barack<e>Obama</e> to <a>apologize</a> to video producer his admin. falsely accused.,167,"['Yes', 'ManUP', 'Obama', 'nationaljournal', 'MittRomney', 'call', 'BarackObama', 'apologize', 'video', 'producer', 'admin', 'falsely', 'accuse']"
451,"We've got MSNBC on in our cafe so I asked a first grade girl who she wanted to be POTUS and she shouted, ""MICHELLE <e>OBAMA</e>!"" I love this job.",146,"['get', 'MSNBC', 'cafe', 'ask', 'first', 'grade', 'girl', 'want', 'POTUS', 'shout', 'MICHELLE', 'OBAMA', 'love', 'job']"
452,"<e>Mitt Romney</e> feels pretty good about having the <a>debate</a> on Bosses Day, and if elected plans to make EVERY day Bosses Day.",133,"['Mitt', 'Romney', 'feel', 'pretty', 'good', 'debate', 'Bosses', 'Day', 'elect', 'plan', 'make', 'EVERY', 'day', 'Bosses', 'Day']"
453,.@mitt<e>romney</a> If you beat <a>Barack</a> in a <a>rap battle</a> you have my vote.,86,"['mittromney', 'beat', 'Barack', 'rap', 'battle', 'vote']"
454,"RT @linda_davis: â€œ@Jerry_Komar: If <a>PA<a> is now in play, that means Ohio is winnable for <e>Romney</e>. #MittRomneyâ€ coal states are waking up",149,"['RT', 'linda_davis', 'Jerry_Komar', 'PA', 'play', 'mean', 'Ohio', 'winnable', 'Romney', 'coal', 'state', 'wake']"
455,WATCH as @rosieperezbklyn tears into <e>Romney</e> over 'helpful to be Latino' comment in new <a>video</a> http://t.co/lvuI70Kd,127,"['WATCH', 'rosieperezbklyn', 'tear', 'Romney', 'Latino', 'comment', 'new', 'video', 'http']"
456,All This Talk About Mitt <e>Romney</e>'s $5 Trillion <a>Tax</a> ... I Know You Want Change But I Only Have $100 Bills,117,"['Talk', 'Mitt', 'Romney', 'Trillion', 'Tax', 'Know', 'Want', 'Change', 'Bills']"
457,"RJ looses Chain Executives @NextPointEvent ..... #<e>romney<e> camera left in room, #vote2012 http://t.co/4pQo6PG",113,"['RJ', 'loose', 'Chain', 'Executives', 'NextPointEvent', 'romney', 'camera', 'leave', 'room', 'http']"
458,"@ByronYork even if <e>Romney</e> wins, <a>re-criminalizing abortions</a> will never happen, he's seeking 2 terms as POTUS not 1.",128,"['ByronYork', 'even', 'Romney', 'win', 'abortions', 'never', 'happen', 'seek', 'term', 'POTUS']"
459,What Kind of Man is <e>MITT ROMNEY</e> ??!!  This is who he REALLY Is !!  #tcot http://t.co/2c2AUTib,100,"['Kind', 'Man', 'MITT', 'ROMNEY', 'REALLY', 'tcot', 'http']"
460,"@amritat What you reckon, who will win<e> Obama</e> or <e>Romney</e>?",69,"['amritat', 'reckon', 'win', 'Obama', 'Romney']"
461,Why have I only just found this....?! http://t.co/MSdlziyc #<e>Romney</e>,73,"['find', 'http', 'Romney']"
462, Did <e>Romney</e> name 1 tax loophole he would close to make up for the <a>20% tax<a> cut across the board? #NopeDidntThinkSo,126,"['Romney', 'name', 'tax', 'loophole', 'would', 'close', 'make', 'tax', 'cut', 'across', 'board', 'NopeDidntThinkSo']"
463, 1st predential <a>debate</a> beat-down for <e>Romney</e> and now watching Inslee and McKenna go at it in #WAGov. #mylife,121,"['predential', 'debate', 'Romney', 'watch', 'Inslee', 'McKenna', 'go', 'WAGov', 'mylife']"
464, <e>Romney</e>'s<a> tax plan</a> would make it easier to outsource jobs http://t.co/qWjM7XcW via @thinkprogress,111,"['Romney', 'tax', 'plan', 'would', 'make', 'easier', 'outsource', 'job', 'http', 'via', 'thinkprogress']"
465, @american121 you are very passionate about your stance what about <e>Romney</e>'s upcoming policies do you support?,116,"['passionate', 'stance', 'Romney', 'upcoming', 'policies', 'support']"
466, Zero. He thinks he won. RT @billburton716: What's the over-under on how many people Mitt <e>Romney</e> fires after this debacle?,129,"['Zero', 'think', 'RT', 'many', 'people', 'Mitt', 'Romney', 'fire', 'debacle']"
467, OMG! <e>Romney</e> is hooked on Binders like kindergartners on phonics #<a>debate</a>s #ctl,92,"['OMG', 'Romney', 'hook', 'Binders', 'like', 'kindergartners', 'phonics', 'debate', 'ctl']"
468, Mitt. <e>Romney</e> gotta twitter what,39,"['Mitt', 'Romney', 'get', 'ta', 'twitter']"
469," #<a>debate</a> When Mitt <e>Romney</e> and Republicans talk about helping <a> ""small business""</a> who do they really mean? #FollowtheMoney http://t.co/mvk2abfb",161,"['debate', 'Mitt', 'Romney', 'Republicans', 'talk', 'help', 'small', 'business', 'really', 'mean', 'FollowtheMoney', 'http']"
470, Marco Rubio Throws Cold Water On <e>Romney</e>'s <a>Tax Plan</a> #FB http://t.co/5EUzBkOf,90,"['Marco', 'Rubio', 'Throws', 'Cold', 'Water', 'Romney', 'Tax', 'Plan', 'FB', 'http']"
471, #PDSLive    Does <e>Romney</e> own a gun?,42,"['PDSLive', 'Romney', 'gun']"
472, @SnarkInfested We can easily import binders from some Chinese company that <e>Romney</e> has invested in.,106,"['SnarkInfested', 'easily', 'import', 'binders', 'Chinese', 'company', 'Romney', 'invest']"
473," ""YOU GET A GREEN CARD, AND YOU GET A GREEN CARD, EVERYBODY GETS A GREEN CARD!"" -<e>Romney</e> if he was Oprah #PDSLive",119,"['GET', 'GREEN', 'CARD', 'GET', 'GREEN', 'CARD', 'EVERYBODY', 'GETS', 'GREEN', 'CARD', 'Romney', 'Oprah', 'PDSLive']"
474, Good win Tigers and <e>Romney</e>,34,"['Good', 'win', 'Tigers', 'Romney']"
475, <a>Chinese folk</a> should be tired of Mitt <e>Romney</e> by now. He keeps knockin on their doors with the currency manipulating gloves. Lol,141,"['Chinese', 'folk', 'tire', 'Mitt', 'Romney', 'keep', 'knockin', 'doors', 'currency', 'manipulate', 'gloves', 'Lol']"
476," <e>Romney</e>: ""Government does not create<a> jobs</a>; put me in charge of the government so I can create jobs."" #Debate #Paraphrase",134,"['Romney', 'Government', 'create', 'job', 'put', 'charge', 'government', 'create', 'job', 'Debate', 'Paraphrase']"
477, Why did <e>Romney</e> have a binder full of women?,51,"['Romney', 'binder', 'full', 'women']"
478," ""@singingadiftune: @7im <e>Romney</e> could have just added: Some of my best friends are women."" That would've been a huge lie.",128,"['singingadiftune', 'Romney', 'could', 'add', 'best', 'friends', 'women', 'would', 'huge', 'lie']"
479," @<e>Obama</e>2012 You said that <e>Romney</e> didn't serve the '<a>47 %'</a>.. But you also said ""Some unimportant<a> jobs</a> won't come back."" ALL JOBS ARE IMPORTANT!",169,"['say', 'Romney', 'serve', 'also', 'say', 'unimportant', 'job', 'wo', 'come', 'back', 'JOBS', 'IMPORTANT']"
480," Mitt <e>Romney</e> Style, actually dying at this!!!! ðŸ˜‚ http://t.co/dLqowIkQ",79,"['Mitt', 'Romney', 'Style', 'actually', 'die', 'http']"
481, Y'all do know <e>Romney</e> can't put y'all in slavery right ? Y'all so dumb,77,"['know', 'Romney', 'ca', 'put', 'slavery', 'right', 'dumb']"
482," If <e>Romney</e> gets elected, I promise, if someone gives me a <e>Romney</e>/Ryan shirt I'll wear it to school and take a picture. #Promise",141,"['Romney', 'get', 'elect', 'promise', 'someone', 'give', 'shirt', 'wear', 'school', 'take', 'picture', 'Promise']"
483," <e>Romney</e>; see I treated those second rate wemen special, almost like equals.",82,"['Romney', 'see', 'treat', 'second', 'rate', 'wemen', 'special', 'almost', 'like', 'equal']"
484, Lmao this kid saying he's <a>republican</a> okay go ahead be an orphan and vote for <e>Romney</e>.,99,"['Lmao', 'kid', 'say', 'republican', 'okay', 'go', 'ahead', 'orphan', 'vote', 'Romney']"
485," Oh, if <e>Romney</e> goes down on women, that is so right.  And no, I'm not editing my <a>tweet</a>. #<a>debate</a>s",117,"['Oh', 'Romney', 'go', 'women', 'right', 'edit', 'tweet', 'debate']"
486," Tonight in the <a>debate</a>s <e>Romney</e> mentioned his <a>offshore ""investments""</a> - <a>AKA  tax shelters</a> - AKA tax havens. I just... http://t.co/Sq9Ssglr",164,"['Tonight', 'debate', 'Romney', 'mention', 'offshore', 'investments', 'AKA', 'tax', 'shelter', 'AKA', 'tax', 'havens', 'http']"
487," @<e>Romney</e> mortified RT @MichaelOFA: <e>Romney</e> camp sends blast from Paul Ryan on ""<e>Romney</e> Crushing It."" Poor guy must have not seen <a>debate</a>.",162,"['Romney', 'mortify', 'RT', 'MichaelOFA', 'Romney', 'camp', 'send', 'blast', 'Paul', 'Ryan', 'Romney', 'Crushing', 'Poor', 'guy', 'must', 'see', 'debate']"
488, I don't have a cat. <e>Romney</e>'s fault.,43,"['cat', 'Romney', 'fault']"
489," #PDSLive <e>Romney</e> takes all his money and pays all of the deficit, I will <a>vote </a>for him immediately.",112,"['PDSLive', 'Romney', 'take', 'money', 'pay', 'deficit', 'vote', 'immediately']"
490," If <e>Romney</e> wins, the presidential library will have to go digital to accommodate all those binders full of women. #<a>debate</a>s",136,"['Romney', 'win', 'presidential', 'library', 'go', 'digital', 'accommodate', 'binders', 'full', 'women', 'debate']"
491, So now Candy Crowley says <e>Romney</e> was right on <e>Obama</e>'s terrorism comment: http://t.co/yXTFVjCm #bias #bullshitter,127,"['Candy', 'Crowley', 'say', 'Romney', 'right', 'Obama', 'terrorism', 'comment', 'http', 'bias', 'bullshitter']"
492," @HuffingtonPost <e>Romney</e> mentioned drilling stopped because of Birds, Wind Energy kills 1,000's everyday! #tcot  #<e>Romney</e>Ryan  #G0P2012",147,"['HuffingtonPost', 'Romney', 'mention', 'drill', 'stop', 'Birds', 'Wind', 'Energy', 'kill', 'everyday', 'tcot', 'RomneyRyan']"
493, #<a>debate</a>s Gm has moved most of their plants out of the country. He says <e>Romney</e> is the <a>outsourcer</a> in chief? Come on.,136,"['debate', 'Gm', 'move', 'plant', 'country', 'say', 'Romney', 'outsourcer', 'chief', 'Come']"
494, Omg <e>Romney</e> Binder tweets are the best.,46,"['Omg', 'Romney', 'Binder', 'tweet', 'best']"
495, I'm in a binder? â€œ@CNNVideo: <e>Romney</e> says his team went thru 'binders of women' to find qualified cabinet #CNN<a>debate</a> http://t.co/dfp6f8jTâ€,156,"['binder', 'CNNVideo', 'Romney', 'say', 'team', 'go', 'thru', 'women', 'find', 'qualify', 'cabinet', 'CNNdebate', 'http']"
496, 'Binders Full Of Women': Mitt <e>Romney</e>'s Comment Goes Viral (VIDEO) - Huffington Post http://t.co/7hOLYNkZ,112,"['Full', 'Women', 'Mitt', 'Romney', 'Comment', 'Goes', 'Viral', 'VIDEO', 'Huffington', 'Post', 'http']"
497, So all I got from tonight is <e>Romney</e>'s plan is the<a> five point</a> palm exploding heart tecnique? #FivePoints #ThenYouDie,130,"['get', 'tonight', 'Romney', 'plan', 'five', 'point', 'palm', 'explode', 'heart', 'tecnique', 'FivePoints', 'ThenYouDie']"
498, <e>Romney</e>'s <a>tax plan</a> is revealed!! http://t.co/31js98K2,67,"['Romney', 'tax', 'plan', 'reveal', 'http']"
499, @WSJwashington @BretBaier RT @MattMackowiak: Moderator now says <e>Romney</e> was right about Libya â€” http://t.co/VossyK8Y #<a>debate</a>2012,144,"['WSJwashington', 'BretBaier', 'RT', 'MattMackowiak', 'Moderator', 'say', 'Romney', 'right', 'Libya', 'http']"
500," For all you <e>Romney</e> haters, here's his <a>tax plan</a>. http://t.co/IhGU5oAt",83,"['Romney', 'haters', 'tax', 'plan', 'http']"
501, @SandraFluke <e>Romney</e> claims that the way to equitable pay for women is to get them home in time to make dinner.  #bindersfullofwomen,139,"['SandraFluke', 'Romney', 'claim', 'way', 'equitable', 'pay', 'women', 'get', 'home', 'time', 'make', 'dinner', 'bindersfullofwomen']"
502,Swing States poll:<a> Women push Romney into lead <a>- USA TODAY: CBC.caSwing States poll: Women push <e>Romney</e> into lead... http://t.co/qJD2StaC,149,"['Swing', 'States', 'poll', 'Women', 'push', 'Romney', 'lead', 'USA', 'TODAY', 'States', 'poll', 'Women', 'push', 'Romney', 'lead', 'http']"
503,"Lmao at this <e>Romney</e><a> Abortion video back</a> in 95, good work <e>Obama</e>",83,"['Lmao', 'Romney', 'Abortion', 'video', 'back', 'good', 'work', 'Obama']"
504,<e> Obama</e> got <a>Morgan freeman to be in his commercial. <e>Romney</e> is fucked now,88,"['Obama', 'get', 'Morgan', 'freeman', 'commercial', 'Romney', 'fuck']"
505,Breaking News Open Question: Which - <e>Romney</e>or<e> Obama</e>- will do the following?: -<a>Focus on making the US a more sel... http://t.co/7bn4WOJP,152,"['Breaking', 'News', 'Open', 'Question', 'Romneyor', 'Obama', 'follow', 'Focus', 'make', 'US', 'sel', 'http']"
506,Women for <e>Romney/</e>Ryan 2012 people that <a>know me IRL do I sound like this?</a>! Everyone is saying I do ðŸ˜£ðŸ˜«ðŸ˜“ðŸ˜’ http://t.co/ytE25zIo,149,"['Women', 'people', 'know', 'IRL', 'sound', 'like', 'Everyone', 'say', 'http']"
507,Odds on international law as <e>Obama/Romney</e> #<a>debate topic</a>? Near zero.,81,"['Odds', 'international', 'law', 'debate', 'topic', 'Near', 'zero']"
508,Gallup shows <e>Romney </e><a>pulling ahead in swing states http://t.co/Jw7yLzxn,80,"['Gallup', 'show', 'Romney', 'pull', 'ahead', 'swing', 'state', 'http']"
509,I liked a @YouTube video from @baracksdubs http://t.co/bNvtC0dL <e>Barack Obama </e>and <e>Mitt Romney </e><a>Singing Hot and Cold by Katy Perry,144,"['like', 'YouTube', 'video', 'baracksdubs', 'http', 'Barack', 'Obama', 'Mitt', 'Romney', 'Singing', 'Hot', 'Cold', 'Katy', 'Perry']"
510,"This kid just said ""<e>Mitt Romney </e>is against tampons!!!"" Get. Out. You. Irrelevant. Person. Who. Knows.<a> Nothing. About. Politics.",137,"['kid', 'say', 'Mitt', 'Romney', 'tampon', 'Get', 'Irrelevant', 'Person', 'Knows', 'Nothing', 'Politics']"
511,Palin Says The pressure's on <e>Obama</e> in <a>debate rematch </a>with <e>Romney</e> http://t.co/ODFBC855 #teaparty,116,"['Palin', 'Says', 'pressure', 'Obama', 'debate', 'rematch', 'Romney', 'http', 'teaparty']"
512,Romney likes 2 steal the glory. Gov Deval Patreck made <a>Mass education system</a>#1.Mitt did nothing.<e>Romney </e>was 1/2 time gov of Mass.,142,"['Romney', 'like', 'steal', 'glory', 'Gov', 'Deval', 'Patreck', 'make', 'Mass', 'education', 'system', 'time', 'gov', 'Mass']"
513,"<e>Romney</e>won't show<a> tax returns</a>, <a>history of shipping jobs out of US,</a> won't care for 47% of US ppl, has voucher care, wants to privatize SS.",157,"['Romneywo', 'show', 'tax', 'return', 'history', 'ship', 'job', 'US', 'wo', 'care', 'US', 'ppl', 'voucher', 'care', 'want', 'privatize', 'SS']"
514,@MittRomney @<e>TRomney Will <e>Obama</e> <a>Show up at 2nd debate?</a> https://t.co/Z2xb4vrs,93,"['MittRomney', 'TRomney', 'Obama', 'Show', 'debate', 'https']"
515,Did <a>Fox News just punk </a>the <e>Romney</e> campaign? @Upworthy  http://t.co/vvQ9jhV1,89,"['Fox', 'News', 'punk', 'Romney', 'campaign', 'Upworthy', 'http']"
516,How did Big Bird give <e>Romney</e> a <a>chance to look presidential? </a>Fitzgerald files on the US election campaign http://t.co/yyfhDL0B,139,"['Big', 'Bird', 'give', 'Romney', 'chance', 'look', 'presidential', 'Fitzgerald', 'file', 'US', 'election', 'campaign', 'http']"
517,"[MedCity News] Find out where <e>Obama, Romney </e>stand on #<a>startups and entrepreneurship</a> http://t.co/47nQ70Bj",118,"['MedCity', 'News', 'Find', 'Obama', 'Romney', 'stand', 'startups', 'entrepreneurship', 'http']"
518,"Wow. More on Emperor <e>Romney</e>,, err Palpatine: In the prequel trilogy, <a>Palpatine is a middle-aged politician</a> of (cont) http://t.co/WJxpyMqi",151,"['Wow', 'Emperor', 'Romney', 'err', 'Palpatine', 'prequel', 'trilogy', 'Palpatine', 'politician', 'cont', 'http']"
519,@TheDailyEdge People probably meant P <e>Romney</e> and P V Ryan and mentor P Koch Bros,87,"['TheDailyEdge', 'People', 'probably', 'mean', 'P', 'Romney', 'P', 'V', 'Ryan', 'mentor', 'P', 'Koch', 'Bros']"
520,The blonde chick from Taken is going to look just like Ann Romney when she ages. #rememberthis,94,"['blonde', 'chick', 'Taken', 'go', 'look', 'like', 'Ann', 'Romney', 'age', 'rememberthis']"
521,Racism still lives.<e>Romney</e><a> Suppt Wears 'Put The White Back In The White House' T-Shirt </a>@ Campaign Event http://t.co/PWqHQk8Q via @HuffPostPol,154,"['Racism', 'still', 'Suppt', 'Wears', 'White', 'Back', 'White', 'House', 'Campaign', 'Event', 'http', 'via', 'HuffPostPol']"
522,"<e>Romney </e>supporter Scott Baio: So much for <a>liberal tolerance</a>, huh? http://t.co/NRwSuZsl via @TwitchyTeam",116,"['Romney', 'supporter', 'Scott', 'Baio', 'much', 'liberal', 'tolerance', 'huh', 'http', 'via', 'TwitchyTeam']"
523,New post: Gallup Shows<a> Florida Swinging <e>Romney's </eDirection </a>http://t.co/pIbZ1CPg,92,"['New', 'post', 'Gallup', 'Shows', 'Florida', 'Swinging', 'Romney', 'http']"
524,Yet Another CEO Asks Employees to Vote <e>Romney </e>for <a>Sake of the Company (And Their Jobs) http://t.co/karweFgJ via @theblaze  #tpp #sgp #tcot,148,"['Yet', 'Another', 'CEO', 'Asks', 'Employees', 'Vote', 'Romney', 'Sake', 'Company', 'Jobs', 'http', 'via', 'theblaze', 'tpp', 'sgp', 'tcot']"
525,"-_________- â€œ@dessssstinyyyyy: Someone wore a shirt saying <a>""Putting White back in the White House"" </a>at a<e> Romney/Ryan </e>ralley....â€",145,"['dessssstinyyyyy', 'Someone', 'wear', 'shirt', 'say', 'Putting', 'White', 'back', 'White', 'House', 'ralley']"
526,</e> romney Supporter Wears '<a>Put The White Back In The White House' T-Shirt </a>At Ohio Campaign Event (PHOTO) http://t.co/GbbHLj12 via @HuffPostPol,151,"['romney', 'Supporter', 'Wears', 'White', 'Back', 'White', 'House', 'Ohio', 'Campaign', 'Event', 'PHOTO', 'http', 'via', 'HuffPostPol']"
527,"SOP for many Dems: RT: @TwitchyTeamObama supporter: 'Every car I see with a <a><e>Romney</e> sticker</a>, I key it.' http://t.co/knpIgmWH",137,"['SOP', 'many', 'Dems', 'RT', 'TwitchyTeamObama', 'supporter', 'car', 'see', 'Romney', 'sticker', 'key', 'http']"
528,"Governor <e>Romney</e> to <a>campaign in Virginia tomorrow - stops in Chesapeake, Leesburg",90,"['Governor', 'Romney', 'campaign', 'Virginia', 'tomorrow', 'stop', 'Chesapeake', 'Leesburg']"
529,I've only ever heard <a>bad things</a> about <e>Romney…</e>,59,"['ever', 'hear', 'bad', 'things']"
530,@CNN Will<e> Obama</e>get to keep his<a> job </a>or will<e> Romney</e> snatch it.Watch tonite.,94,"['CNN', 'Obamaget', 'keep', 'job', 'Romney', 'snatch', 'tonite']"
531,<a>Hedge Funds take 5 of the top 10 spots</a> as donors to <e>Romney</e> Victory Fund http://t.co/yTFUmK2i,106,"['Hedge', 'Funds', 'take', 'top', 'spot', 'donors', 'Romney', 'Victory', 'Fund', 'http']"
532,Chris Wallace Got My <a>Memo On Six Bogus Studies <e>Romney's</e> Been Touting As Facts http://t.co/mq3Tn3kC,108,"['Chris', 'Wallace', 'Got', 'Memo', 'Six', 'Bogus', 'Studies', 'Romney', 'Touting', 'Facts', 'http']"
533,Mitt Romney Style (Gangnam Style Parody) http://t.co/qJSptbfH,61,"['Mitt', 'Romney', 'Style', 'Gangnam', 'Style', 'Parody', 'http']"
534,". <e>#Romney's t</e><a>aken $11mil from tobacco, alcohol & gambling co's while <e>Obamas</e> taken $500K. Family values candidate? @stefcutter #debate #obama",157,"['Romney', 'take', 'tobacco', 'alcohol', 'gamble', 'co', 'Obamas', 'take', 'Family', 'value', 'candidate', 'stefcutter', 'debate', 'obama']"
535,"Give <e>Romney the <a>liars, </aNO RESPECT.  ...NO RESPECT PERIOD!",66,"['Give', 'Romney', 'liars', 'aNO', 'RESPECT', 'RESPECT', 'PERIOD']"
536,"Koch Sends Pro-<e>Romney</e><a> Mailing to 45,000 Employees </a>While Stifling Workplace Political Speech (Update)  #WorWat http://t.co/2Vh8Qv6V",144,"['Koch', 'Sends', 'Mailing', 'Employees', 'Stifling', 'Workplace', 'Political', 'Speech', 'Update', 'WorWat', 'http']"
537,Romney: The<e> Romney </e><a>campaignâ€™s postmodern approach</a> to policy http://t.co/2hl31LFE,96,"['Romney', 'Romney', 'postmodern', 'approach', 'policy', 'http']"
538,@Steven_Berlett:<e> Romney 2012 </e>@current #current2012,57,"['Steven_Berlett', 'Romney', 'current']"
539,"Vietnam veteran shouts, â€œFuck you, <E>Romney</E>! You wouldnâ€™t know service if it <A>bit you on your well manicured ass.â€ http://t.co/bzTSS6Cm",148,"['Vietnam', 'veteran', 'shout', 'Romney', 'know', 'service', 'bite', 'well', 'manicure', 'http']"
540,"OK, now this is starting to look serious ... <e>Romney </e>50%, <e>Obama</e> 46% Among <a>Likely Voter</a>s http://t.co/pX9uRSW9",128,"['OK', 'start', 'look', 'serious', 'Romney', 'Obama', 'Among', 'Likely', 'Voters', 'http']"
